,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
25,-0.18178937,0.10873658,0.32663056,0.9440158,0.09100388,-0.032475527,0.81448764,-0.04965915,-0.05572373,0.023859434,0.7089598,0.020009395,0.022501305,0.020019146,-0.4682629,-0.16256784
7,0.5349369,-0.24164778,0.27908355,-0.8293302,-0.46424964,0.003933424,0.75356215,0.7126692,0.3740106,-1.2044338,0.6324464,0.18659233,0.068064146,0.07317267,-1.1864922,0.12073274
1,-0.3286325,0.21468298,0.2739427,0.8964466,0.041875,-0.22590227,0.81592745,0.26104042,-0.25034586,0.23048116,0.42372465,0.013388796,0.22894578,-0.25405973,-0.43543863,-0.03129608
34,0.15316468,0.29909962,0.18280445,0.43583983,0.10049393,-0.1882994,0.9179309,-0.30212483,0.36801448,-0.27935657,0.5600918,0.15007928,-0.3887974,-0.11759344,-0.5733613,0.30872554
18,-0.12918872,0.07029983,0.25916415,-0.63272834,0.07986802,0.1809254,0.39689028,0.6989872,0.51061773,-0.69530284,0.11954491,-0.045364507,1.3020178,0.2752331,-0.84885395,-0.45930696
15,-0.23065896,0.017240847,0.5344655,0.48616582,0.38895038,0.2207411,0.7212174,-0.46051177,-0.037973613,0.20376538,0.57355356,0.0463862,0.4293378,-0.18989374,-0.21951935,-0.15290642
30,-0.27511665,0.1309553,0.40146568,1.0973403,-0.12500614,-0.3144305,0.8639259,0.26549342,-0.3127421,-0.14657377,0.43289393,0.112747066,0.18763956,-0.2945116,-0.53558636,0.45568672
12,-0.41252702,0.25662,0.49007717,0.8280866,0.48084727,-0.15391544,0.61775595,-0.38877195,-0.3120598,0.04685184,0.0646764,-0.18169199,-0.016063737,-0.15525474,-0.63082457,-0.36439016
14,0.05970291,0.29501414,0.5004949,0.43670374,0.5337745,-0.3672022,0.7301472,-0.30343708,0.07658079,0.21306702,0.25058305,0.08084003,-0.11902648,-0.06197417,-0.32884446,-0.26382327
11,-0.28738752,0.60651857,0.43566886,0.22415227,0.49726903,0.16213821,0.84717685,-0.39578098,0.58093333,0.24330923,-0.010305458,0.43566895,0.436089,-0.5519786,-0.17423552,0.3408967
29,-0.06107222,0.14965133,0.2728973,-0.48706338,-0.073130876,0.08726855,0.5321525,0.7831048,0.21278958,-0.6915044,0.11313589,-0.28266695,1.4499378,0.45017785,-0.81248426,-0.5798234
21,-0.08998242,0.30459177,0.9591245,0.45980945,0.44543517,-0.2860683,0.7486008,-0.32549912,-0.3350764,0.2739266,0.5776572,-0.35471627,0.09378334,-0.0950986,-0.18388125,-0.31030735
32,-0.13548203,-0.37079725,-0.24352507,-0.52942765,0.052624125,0.16264619,0.40305278,0.86883664,0.7849096,-0.77907157,0.15824097,0.28098097,1.0590864,0.04054175,-1.1180637,-0.4775697
36,-1.2215456,1.2724828,-0.10878889,-0.2448211,1.786358,-0.40806642,1.6056204,-1.3301635,1.7037128,0.89653724,-1.2100687,-0.7652953,0.12631287,-1.3195105,-1.8556511,-1.8416767
6,0.32250163,-0.61797494,0.7991499,-0.8392022,0.082489975,-0.09317835,0.0936425,0.4953499,0.16928595,-0.5974942,-0.12146907,0.27152768,0.21422374,-0.10661803,-1.1851847,-0.61847675
28,-0.19961216,-0.22818744,0.1933294,0.1857717,0.40463555,-0.18301168,0.7985746,-0.35842326,-0.29967174,0.22454518,0.59097,-0.36281502,-0.06336061,-1.115342,-0.26294196,-0.40554526
