,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
25,-0.39097187,-0.05965815,0.428742,0.38068515,-0.048013877,0.03409162,0.6155504,-0.030732961,0.063879065,0.07343283,-0.21397364,-0.2505953,0.0012267194,0.01466342,-0.19355164,-0.25176403,-0.48403338,0.21187297,0.024248173,0.35561186,0.30020428,0.11052465,0.44486272,-0.15127628,0.29966044,-0.005164345,0.022196148,-0.12969576,-0.07746381,-0.4887032,-0.125002,-0.032331932
1,-0.19911282,-0.3811095,0.54580814,0.11967985,0.0032299515,0.037282594,0.36072797,-0.18274663,0.123642184,0.2685195,-0.27006438,-0.2650865,0.20027122,-0.20190227,-0.15228708,-0.027439972,-0.40537357,0.31890205,0.09746751,0.31267294,0.28578895,0.019249892,0.52681327,-0.10530912,0.18041068,-0.019687193,-0.20500477,0.16266206,-0.16953136,-0.6968727,-0.094985455,-0.23725803
7,-0.074717775,-0.46749228,-0.42112327,0.38519767,-0.48071402,0.0067192926,0.17927477,0.6198614,-0.09154899,-0.15372828,0.95103884,-0.062832616,0.6497789,0.10404175,-0.48999837,-0.33941218,-0.13829257,0.6890109,-0.33237657,0.2054425,-0.29054946,0.5666073,0.17995073,-0.3850876,-0.41853255,0.3353038,0.12461076,-0.11827435,-0.5422543,0.5689255,-0.058317203,-0.4754013
34,-0.49273396,-0.13451302,0.023984252,0.59289414,-0.34601173,-0.3713072,0.39360878,0.20591263,-0.01827916,-0.13283704,-0.006755437,-0.19678411,0.11880989,0.16915455,-0.31460825,-0.42824584,-0.26467398,0.3492289,0.43665108,0.035558183,0.25222275,0.34937626,0.39062595,0.12603666,0.11865693,-0.0022362117,0.06447181,-0.29095936,0.016633708,-0.2759935,-0.2017405,-0.1217204
18,0.10907622,-0.11909866,0.07508319,0.15944359,-0.28395814,-0.03989085,0.55557525,0.3338761,0.10560168,0.37362358,0.94504,0.085042514,0.45709604,-0.22876132,-0.59072715,0.37918782,0.1789324,0.45052278,-0.4452202,0.24639115,0.0122679435,0.3396623,0.42190504,-1.0472279,-0.0084702745,0.662816,0.051936258,0.40111578,-0.27609238,0.41571912,-0.104603305,0.14523506
15,-0.43682376,-0.18578522,0.5916608,0.2787041,0.11278599,-0.0842051,0.36063477,0.12338114,0.13375607,0.11710192,-0.05939458,-0.29091847,-0.10337627,0.035107493,0.11579812,-0.2878036,-0.18203655,-0.0028232404,0.16086066,0.5265661,0.21462199,0.14125594,0.47222438,-0.050917212,0.19713742,0.17964785,0.12831625,-0.020413967,0.02508616,-0.30753094,-0.2636976,0.3127061
30,-0.42958015,-0.26689136,0.56469166,0.16753738,-0.14010334,-0.16820008,0.28830883,-0.23627004,0.020802844,-0.0051263566,-0.37578967,-0.2905341,0.18966006,0.0007935291,-0.15913767,-0.050835405,-0.48529112,0.32005346,-0.06937108,0.15540233,0.16985156,0.17220144,0.5896793,-0.15746574,0.49642527,-0.002698068,-0.062435955,-0.11457019,-0.5594323,-0.7263283,-0.47015846,-0.3743802
12,-0.20810655,-0.35234407,0.7159742,0.14160989,-0.22262415,0.19037037,0.30773023,-0.16028574,-0.10963461,-0.044259105,-0.061770305,-0.3066869,-0.021808345,-0.17620574,0.1351696,-0.36138153,-0.7493268,0.040894974,0.18644063,0.41040602,0.27439642,0.37880766,0.33328098,0.13387732,0.130376,0.18704094,-0.075528264,0.04837515,-0.032936603,-0.4637864,-0.25284752,0.12938759
14,-0.40673774,-0.17801602,0.3792,0.21487054,-0.25136444,-0.08227221,0.32427338,0.005359102,-0.15683256,0.01521444,-0.105747186,-0.27091417,0.1337392,-0.28060216,0.35000736,-0.5493034,-0.40821353,0.058677662,0.36097562,0.29662457,0.10258099,0.20474853,0.44359997,-0.058011144,-0.06145312,-0.03777317,0.060556512,-0.0069940197,0.07473489,-0.55670035,-0.092850566,0.026342683
11,-0.693263,-0.42554733,0.26041314,0.33530813,-0.252908,-0.31591454,0.21533284,0.35099113,0.046400983,0.5276918,0.08909104,-0.08169068,-0.07240562,-0.067487545,0.037417687,-0.17326504,0.18642662,-0.030222042,0.36360338,0.086477935,0.28316864,0.12586176,0.6876745,0.1533055,0.39994448,0.23366657,0.05759359,0.19309823,0.20722266,-0.41796395,-0.2812014,0.44357362
