,0,1,2,3,4,5,6,7
25,0.4716145,-0.24184607,-0.8649151,0.2289054,-0.016729644,-0.43651506,0.84588885,-0.0022255229
7,0.21823427,0.37892568,-0.13533446,1.572748,-1.1943045,0.56186414,-0.074430466,-0.8623183
1,0.48758042,-0.40440577,-0.775484,0.18410859,-0.023292705,-0.5123509,0.8340574,0.036343105
18,-0.30847782,-0.3798537,-0.05081307,1.7251861,-1.1396294,0.50435996,0.48896882,0.52812487
34,0.6414461,0.52712613,-0.7705975,0.5062778,0.0368819,-0.19005765,0.638073,-0.51331013
15,-0.13967067,-0.42401725,-0.60418767,0.1432866,0.11882859,-0.55097336,1.1067857,-0.034340825
30,0.83911175,-0.34461585,-1.0763787,0.14608897,-0.20800981,-0.5372768,0.7908151,-0.04873719
12,0.20137656,-0.37212923,-0.47251177,0.3320937,0.2647108,-0.8800335,0.92992306,0.2790723
11,-0.6595944,0.35775587,-0.9577925,0.35639992,0.044515572,-0.27414086,1.3506999,-0.22078764
14,0.33230495,-0.21590245,-0.48693064,0.39981705,0.4364739,-0.7312434,0.6570716,-0.24801815
29,-0.06220027,-0.25837082,0.23706403,1.7795047,-1.0122327,0.2347128,0.54739285,0.892244
21,0.24324189,-0.65379786,-0.33163023,0.26775223,0.4942266,-0.82485396,1.0815529,0.23484552
32,-0.6911013,-0.49101508,-0.18506083,1.6478305,-1.4383838,0.78420657,0.6013213,0.10891126
36,4.5051622,-1.7841896,-0.4036572,1.5331249,0.49185395,-2.7917867,0.3779579,-1.8742392
6,-0.6717933,-0.14206313,0.4858864,1.5796161,-0.52317303,0.2602621,0.17844446,-0.8135993
28,0.37001255,-0.4837018,0.13245593,-0.057547774,0.14350627,-0.755996,1.0144858,-0.72335684
39,0.25017944,0.17127074,0.082947515,0.5960373,0.6442344,-0.99046284,0.51693606,-0.7363671
23,-0.09817113,0.09117769,-0.31399465,0.9245381,0.67813176,-0.66215837,0.04273966,-0.8180185
4,0.21613523,-0.17005298,-0.019557916,0.16488293,0.29601228,-0.83396554,0.8176831,-0.76998574
22,-0.34819025,-0.12149697,0.49716574,1.5361097,-0.59104025,0.31614813,0.28830788,-0.39514968
17,-0.97127736,-0.41333592,-0.6516991,0.4122931,0.5243738,-0.43305293,0.86413157,-0.7786414
5,0.44360286,-1.0241687,0.18640725,-0.21728367,0.18872596,-0.10191573,1.1919402,-1.2057413
24,-0.052730426,-0.1998963,0.061940636,0.022460958,-0.048793655,-0.9676041,0.76839477,-1.0095526
3,-0.6012946,-0.38282937,0.5565997,1.5382442,-0.072320595,-0.11486104,0.03551284,-0.4387147
13,0.2295286,-1.2280575,0.5242886,1.389329,-0.17404027,0.44523317,0.12859558,-0.2350992
33,-0.31204075,-0.58004445,-0.43226197,0.73778677,0.54313993,-0.3738219,-0.043811157,-1.055792
26,0.46713498,-1.351488,0.40149456,1.4842274,-0.302214,0.6875062,0.15133114,-0.08114858
38,-0.5823428,-0.242642,-0.20271409,1.0126861,0.43660733,-0.20364435,0.009731875,-0.776235
19,0.610125,-0.6140977,1.1018937,0.22974122,-0.36321953,0.1796588,1.4395783,-0.37050068
37,-0.3461283,-1.0612142,-0.73112935,0.45848656,0.49351203,0.5310411,0.506172,-1.2017831
0,-0.3838139,-0.78064376,-0.7055551,1.0238317,0.25488627,-0.5147993,-0.50772,-0.59602326
20,-0.51809996,-0.5217659,0.15668948,0.5131771,-1.47083,-1.250838,0.10896142,-0.61891323
35,-0.24890906,0.13189082,-0.62023145,-0.06416727,-0.85772693,-1.8391078,0.9828708,-1.0347878
10,0.102221996,-0.8626102,0.9936761,0.98257977,0.023874816,0.4696524,0.7044325,-0.53718954
8,-0.2037861,-0.5023197,-0.50911653,0.102585204,-0.72247857,-1.2821534,0.1831535,-1.0494157
31,-0.17191586,-0.9382989,0.08282069,1.2227457,0.16797459,-0.045494016,-0.2799944,-0.43838966
2,-0.27868038,-1.114251,0.078144684,0.4201617,-1.2272338,-0.8722073,-0.09619603,-0.78120434
16,-0.4033281,-1.2581736,0.3011073,0.77303916,-0.2975444,-0.62351024,-0.11449686,-0.37588993
27,0.0040194686,-0.96987754,0.49712655,0.8258199,0.21657054,0.36460152,0.53718656,-0.25440687
9,-0.33814237,-0.8693224,-0.24189775,0.19774312,-0.71729267,-1.1907026,0.07781224,-0.759445
