,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
25,-0.041864917,-0.007104882,0.308959,0.13348633,-0.22783452,-0.21856971,-0.05399101,0.08077762,0.097066395,0.093442395,0.35357553,0.1049792,0.27865672,-0.02313684,-0.16703498,0.14862262,-0.17002398,0.012002625,-0.35627967,-0.013949684,0.26938367,0.1406469,0.38753524,-0.1399134,0.1614626,0.20583051,-0.145133,0.028085839,-0.18980044,-0.12636177,-0.24357624,-0.18406382,-0.2305365,-0.2514882,0.13905944,0.12762535,0.032917935,0.05406404,0.4780315,0.014260272,-0.10964917,0.29241887,-0.17320085,-0.2158616,0.03355291,0.03970353,0.08998676,0.15332845,-0.07929093,-0.16168387,0.13946243,0.0833824,0.013950346,0.0664893,0.080840245,0.049904954,0.24374828,0.121653825,-0.13491632,0.089860074,-0.07438505,-0.24794036,-0.030038929,-0.080932364
7,-0.057325087,-0.01045033,0.16139543,0.23852496,-0.048609257,0.059378143,0.21876168,0.71379584,-0.2532011,-0.15937187,0.3905766,0.1657875,-0.008937367,-0.16902363,-0.04390402,-0.5362548,-0.02564277,0.14195219,0.2176735,0.07006195,-0.06731074,-0.2705054,0.3064657,-0.0744175,-0.09533719,0.28412786,0.13842374,0.0711831,0.22609265,-0.15144627,0.37148592,0.21265751,-0.41316783,-0.44134244,0.16870245,0.36473724,-0.43711132,0.18383406,0.42964512,-0.06790955,0.25001934,0.11556303,-0.035073843,0.06128532,-0.13399456,-0.22393478,0.0055389693,-0.16519615,-0.12048892,0.4369748,0.62457466,0.004347381,0.34357277,0.39364547,0.29297858,-0.059920803,-0.24608845,-0.44241437,0.4255738,-0.23762867,0.5753192,0.21661454,0.0042515877,0.38289794
1,-0.021915993,0.0017354904,0.42726874,0.08186601,-0.28841946,-0.30778012,-0.13372345,-0.14712183,0.093519695,0.0034453042,0.6210182,-0.108903155,0.2980054,-0.15762645,-0.123463325,0.15188923,-0.38733354,-0.12541434,-0.21216403,0.1452893,0.22278991,0.25441638,0.30142474,0.09433821,0.10316959,0.29124162,-0.08592373,0.053601358,-0.21850044,0.11640822,-0.17686771,-0.15630405,-0.31970963,-0.12959276,0.050196372,0.025495294,0.17192297,-0.00052447285,0.33223435,0.043264017,-0.061053075,0.29048145,-0.08796155,-0.26337215,0.013687081,-0.0432218,0.1027934,0.058381904,0.043760754,-0.17529082,0.13748032,-0.025933716,-0.20485361,0.0913951,1.9093412e-05,0.025157493,0.24175763,-0.032998722,-0.16044003,0.06720774,0.01224167,-0.19917542,0.013780207,-0.06889538
34,0.16333582,-0.2318339,0.3219731,0.20794415,0.1491173,0.0020396279,-0.18237577,0.12818937,0.06685141,0.019019978,0.17644557,-0.054225735,0.38046083,0.06794914,-0.11374949,-0.05302908,-0.2838096,0.19926347,-0.17500813,-0.007329056,0.14626661,0.17412269,0.24892385,-0.2743417,-0.13005355,0.43276224,-0.18754253,-0.096534826,-0.13801603,-0.19716592,-0.107609026,-0.16961113,-0.17736632,-0.29754198,0.31297764,0.17536297,0.051202595,0.19003046,0.414489,0.03648073,-0.11022696,0.090841524,-0.26099855,-0.022864457,0.16119252,-0.03385006,0.1263099,-0.22972162,-0.2051585,0.116980016,0.20265931,0.10127911,0.11117173,0.14358164,0.047543917,-0.008934545,0.16313206,-0.012279423,-0.11001371,0.04173785,0.036277514,-0.41115546,-0.118171945,-0.021343136
18,-0.23179871,-0.023468876,0.043644752,0.03579864,-0.33442888,-0.15600966,0.29037714,0.009568283,-0.44531286,-0.110741876,0.5452517,0.4267823,-0.29486293,-0.013112148,0.10096563,-0.42867914,-0.048930652,0.17275749,0.09691161,-0.014446854,0.11920015,-0.39530718,0.1547069,-0.18679202,0.21194056,0.07529638,0.018801715,-0.028954022,0.13877666,-0.45021498,-0.0023203646,-0.2308624,0.0680007,-0.12792069,0.04134506,0.43240637,-0.19764012,0.0013263709,0.0024686025,-0.22749045,0.44651377,0.4872824,-0.35620114,-0.04431345,-0.098191686,-0.22959107,-0.28961805,-0.3806509,0.067529894,-0.15323173,0.66979766,0.13286218,0.25586453,0.09769578,0.4003234,-0.31738412,-0.23045906,-0.4282847,0.33338222,-0.10017912,0.4458364,-0.106960416,-0.11515507,0.32554287
15,-0.13804734,-0.20514579,0.1578395,-0.0009147519,-0.16676822,-0.32139477,0.0648299,-0.07387846,-0.14011605,-0.006278129,0.24835064,0.082604334,0.032435905,0.071567796,-0.05958575,0.09101487,-0.14941254,0.091223955,-0.14694203,0.054716155,0.30864483,0.15715799,0.19726942,-0.009667937,0.1818354,0.09964892,-0.21935295,0.01202534,-0.12450257,-0.08058482,-0.16627914,-0.21938424,-0.26952597,-0.24449769,0.097270146,0.19179367,0.211557,0.15776081,0.48167455,-0.052039176,-0.0016584272,0.28491107,-0.038729142,-0.1687057,0.28716412,-0.02487043,0.06535448,0.13052459,0.18132007,-0.23027207,-0.14139304,0.08360371,-0.023699436,0.0333138,0.13417329,0.026582116,0.04205138,0.25113982,-0.13736384,0.13494076,-0.059810016,-0.290384,-0.18948829,-0.048571028
30,-0.16977511,-0.032030717,0.3709608,0.32406166,-0.26665863,-0.37622455,-0.20420884,0.18704239,0.13696572,0.057301056,0.5259252,-0.16404471,0.2832207,-0.21852425,-0.28881672,0.1148738,-0.25972044,0.03779312,-0.35469514,0.13515799,0.29859495,0.18024981,0.37867033,-0.0414128,0.11413145,0.12953877,-0.0709098,-0.08696339,-0.17832059,0.21590917,-0.14340429,-0.07409382,-0.41347697,-0.16695954,0.26881722,0.014897837,0.15793754,-0.0011252352,0.37419194,0.09788204,-0.024416592,0.10785231,-0.11894437,-0.16357851,0.058894504,-0.16172116,0.041864432,0.13924998,0.029760988,-0.038996655,0.15604615,-0.1844458,-0.013779215,0.30959028,0.17044953,-0.047654588,0.21389623,-0.003972858,-0.26678148,0.24891925,-0.028664635,-0.32152307,0.08783788,-0.37236845
11,-0.07895927,-0.32780835,0.28214797,0.14742856,-0.06459164,-0.48411655,-0.04915992,0.030322436,-0.23325668,-0.31574643,0.1431458,-0.0544247,0.1699592,0.00686267,-0.032052483,-0.0039405683,-0.11566956,0.15984005,0.090770446,0.108116314,0.11476634,0.3844544,0.071503006,0.024512762,0.105473705,0.25535074,-0.29422107,0.10188061,-0.17449163,0.027872471,-0.15735033,-0.26733318,-0.18306449,-0.45126468,0.24892227,0.05401643,0.106739394,0.042954896,0.49778578,-0.19747454,-0.1972984,-0.0058184383,0.023769844,-0.117413886,0.41855276,0.07158168,-0.017935818,-0.08128059,0.2524642,0.08146174,-0.13738887,0.22020602,-0.2926594,0.2170654,0.20490034,-0.12151599,-0.31101507,-0.013025623,0.06293961,0.103769764,-0.23956944,-0.29368305,-0.3502426,-0.20081855
29,-0.42245567,-0.11545494,0.06806408,-0.07563782,-0.38690346,-0.23490591,0.21506229,-0.021675317,-0.418829,-0.0716848,0.6866982,0.44425133,-0.38513854,0.085123345,0.037232112,-0.45443565,-0.18301898,0.19962554,0.04730136,-0.0311498,0.052958872,-0.37701187,0.109066844,-0.043113787,0.21690872,0.10711955,-0.003890285,0.0013766132,0.13130184,-0.3440219,-0.12009587,-0.32469168,0.19890594,-0.036619466,0.1626318,0.35266334,-0.2498278,-0.202939,-0.06543614,-0.2736436,0.36495042,0.43890682,-0.43321532,0.061084174,-0.11366934,-0.28082362,-0.18796378,-0.3583863,0.0838569,-0.061193667,0.6215101,-0.0016862813,0.18168436,-0.02477783,0.3198067,-0.23616283,-0.21727727,-0.61236316,0.34982648,-0.020075133,0.37478644,-0.04524566,-0.27569407,0.24490453
12,-0.24627037,-0.014971958,0.13542521,0.17792188,-0.25888097,-0.3367354,0.122052655,-0.06426157,0.03647688,-0.11946279,0.24155901,-0.015100511,0.17387144,0.21724701,-0.045631252,0.2939224,-0.430806,-0.0570836,-0.12504625,-0.0699363,0.12385445,0.20251234,0.45222703,0.11123743,0.20399173,0.3054369,-0.2056187,-0.047342144,-0.28560153,-0.060812037,-0.17574057,-0.08978691,-0.24024153,-0.17863357,0.11165049,0.16984586,0.28227785,0.1708141,0.31603494,-0.17936763,0.049838297,0.16345052,-0.053785205,-0.23015608,-0.012750698,-0.083866335,0.19571285,0.10683461,0.04308755,0.046695784,-0.058065526,-0.0066364286,-0.09833708,0.105329365,0.18522996,0.36313233,0.45991334,-0.15115951,-0.3101415,-0.038509544,-0.08603464,-0.2471093,-0.29033992,-0.13236882
